age,total_cases,death_cases,current_date,active_cases,re_rate,re_cases
20s,2686752,61,2022-07-03,4506.0,0.16771179476185372,7.557093471969129
20s,2687984,61,2022-07-04,1232.0,0.04583360615241757,0.5646700277977845
20s,2691763,61,2022-07-05,3779.0,0.14039126030040533,5.305385726752317
20s,2695997,61,2022-07-06,4234.0,0.15704765250109698,6.6493976068964455
20s,2700100,61,2022-07-07,4103.0,0.15195733491352173,6.234809451501796
20s,2704098,61,2022-07-08,3998.0,0.14784967112878306,5.911029851728747
20s,2708167,61,2022-07-09,4069.0,0.1502492276141021,6.113641071617813
20s,2711892,61,2022-07-10,3725.0,0.13735797738258013,5.11658465750111
20s,2714132,61,2022-07-11,2240.0,0.08253098964972964,1.848694168153944
20s,2720841,61,2022-07-12,6709.0,0.24657817196962264,16.542929557441983
20s,2729025,61,2022-07-13,8184.0,0.299887322395361,24.542778464836342
20s,2737243,61,2022-07-14,8218.0,0.30022909913369034,24.672827366806672
20s,2744769,61,2022-07-15,7526.0,0.2741942946747067,20.635862617218425
20s,2752293,61,2022-07-16,7524.0,0.27337205740813203,20.568513599387853
20s,2759042,61,2022-07-17,6749.0,0.24461389134344458,16.508991526769076
20s,2763278,61,2022-07-18,4236.0,0.15329619386829701,6.493626772261061
20s,2775646,61,2022-07-19,12368.0,0.4455899635616357,55.110566693303106
20s,2790027,61,2022-07-20,14381.0,0.5154430405153785,74.12586365651657
20s,2804791,61,2022-07-21,14764.0,0.5263850318972073,77.71548610930368
20s,2818283,61,2022-07-22,13492.0,0.4787311991024322,64.59041338290017
20s,2830388,61,2022-07-23,12105.0,0.427679879931656,51.77064946572696
20s,2840933,61,2022-07-24,10545.0,0.3711808761417464,39.14102338914716
20s,2846534,61,2022-07-25,5601.0,0.19676561038793144,11.02084183782804
20s,2863446,61,2022-07-26,16912.0,0.5906170397486106,99.88515376228503
20s,2882301,62,2022-07-27,18855.0,0.6541648495420846,123.34278238116006
20s,2899302,62,2022-07-28,17001.0,0.5863825155158034,99.69089146284173
20s,2914749,62,2022-07-29,15447.0,0.5299598696148451,81.86290105940512
20s,2929200,62,2022-07-30,14451.0,0.4933428922572716,71.29298136009832
20s,2940844,62,2022-07-31,11644.0,0.3959407571431875,46.10334176175275
20s,2966731,63,2022-08-02,25887.0,0.8725765834516173,225.88390015812016
20s,2987809,63,2022-08-03,21078.0,0.7054667818458275,148.69828827746352
20s,3007348,63,2022-08-04,19539.0,0.6497086469540605,126.94657252835388
20s,3026434,63,2022-08-05,19086.0,0.6306431926154676,120.36455974258816
20s,3044362,63,2022-08-06,17928.0,0.588891859772261,105.57653261997095
20s,3060484,63,2022-08-07,16122.0,0.5267794244309071,84.92737880675084
20s,3069182,63,2022-08-08,8698.0,0.28339798682515405,24.649956894051897
20s,3093405,63,2022-08-09,24223.0,0.783052978837236,189.67892306374367
20s,3119496,63,2022-08-10,26091.0,0.8363851083636588,218.2212386231622
20s,3143857,65,2022-08-11,24361.0,0.7748762109727001,188.76759375505947
20s,3164810,65,2022-08-12,20953.0,0.6620618615335517,138.7218218471251
20s,3183609,65,2022-08-13,18799.0,0.5904933677471071,111.00684820277867
20s,3199815,65,2022-08-14,16206.0,0.5064667801107252,82.07800638474413
20s,3208425,65,2022-08-15,8610.0,0.2683559690502349,23.105448935225226
20s,3220677,65,2022-08-16,12252.0,0.3804169123448269,46.60868010048819
